,STNAME,CTYNAME,POPESTIMATE2020
1,Alabama,Autauga County,56145
2,Alabama,Baldwin County,229287
3,Alabama,Barbour County,24589
4,Alabama,Bibb County,22136
5,Alabama,Blount County,57879
6,Alabama,Bullock County,9976
7,Alabama,Butler County,19504
8,Alabama,Calhoun County,113469
9,Alabama,Chambers County,32865
10,Alabama,Cherokee County,26294
11,Alabama,Chilton County,44397
12,Alabama,Choctaw County,12418
13,Alabama,Clarke County,23291
14,Alabama,Clay County,13112
15,Alabama,Cleburne County,14967
16,Alabama,Coffee County,53230
17,Alabama,Colbert County,55411
18,Alabama,Conecuh County,11851
19,Alabama,Coosa County,10650
20,Alabama,Covington County,36930
21,Alabama,Crenshaw County,13681
22,Alabama,Cullman County,84515
23,Alabama,Dale County,48959
24,Alabama,Dallas County,36098
25,Alabama,DeKalb County,71658
26,Alabama,Elmore County,82158
27,Alabama,Escambia County,36281
28,Alabama,Etowah County,102371
29,Alabama,Fayette County,16241
30,Alabama,Franklin County,31507
31,Alabama,Geneva County,26411
32,Alabama,Greene County,7990
33,Alabama,Hale County,14670
34,Alabama,Henry County,17223
35,Alabama,Houston County,106580
36,Alabama,Jackson County,51582
37,Alabama,Jefferson County,655342
38,Alabama,Lamar County,13764
39,Alabama,Lauderdale County,93368
40,Alabama,Lawrence County,32857
41,Alabama,Lee County,166831
42,Alabama,Limestone County,102228
43,Alabama,Lowndes County,9641
44,Alabama,Macon County,17895
45,Alabama,Madison County,379453
46,Alabama,Marengo County,18733
47,Alabama,Marion County,29703
48,Alabama,Marshall County,96990
49,Alabama,Mobile County,412716
50,Alabama,Monroe County,20459
51,Alabama,Montgomery County,224639
52,Alabama,Morgan County,119883
53,Alabama,Perry County,8687
54,Alabama,Pickens County,19793
55,Alabama,Pike County,32966
56,Alabama,Randolph County,22920
57,Alabama,Russell County,58237
58,Alabama,St. Clair County,90739
59,Alabama,Shelby County,221428
60,Alabama,Sumter County,12225
61,Alabama,Talladega County,79985
62,Alabama,Tallapoosa County,40133
63,Alabama,Tuscaloosa County,210758
64,Alabama,Walker County,63143
65,Alabama,Washington County,15976
66,Alabama,Wilcox County,10206
67,Alabama,Winston County,23508
69,Alaska,Aleutians East Borough,3401
70,Alaska,Aleutians West Census Area,5680
71,Alaska,Anchorage Municipality,287095
72,Alaska,Bethel Census Area,18437
73,Alaska,Bristol Bay Borough,788
74,Alaska,Chugach Census Area,6427
75,Alaska,Copper River Census Area,2919
76,Alaska,Denali Borough,2081
77,Alaska,Dillingham Census Area,4833
78,Alaska,Fairbanks North Star Borough,95651
79,Alaska,Haines Borough,2614
80,Alaska,Hoonah-Angoon Census Area,2141
81,Alaska,Juneau City and Borough,31849
82,Alaska,Kenai Peninsula Borough,59414
83,Alaska,Ketchikan Gateway Borough,13747
84,Alaska,Kodiak Island Borough,12992
85,Alaska,Kusilvak Census Area,8328
86,Alaska,Lake and Peninsula Borough,1493
87,Alaska,Matanuska-Susitna Borough,110213
88,Alaska,Nome Census Area,9909
89,Alaska,North Slope Borough,9294
90,Alaska,Northwest Arctic Borough,7644
91,Alaska,Petersburg Borough,3296
