state,locale_name,cases,num_students,cases_per_capita
Alabama,City: Midsize,9144,86210.0,0.10606658160306229
Alabama,City: Small,3572,39062.0,0.09144437048794224
Alabama,Rural: Fringe,156,17653.0,0.008837024868294342
Alabama,Rural: Remote,330,9648.0,0.034203980099502485
Alabama,Suburb: Large,858,8129.0,0.10554803788903924
Alabama,Suburb: Small,229,8735.0,0.02621637092157985
Alabama,Town: Distant,268,16860.0,0.01589561091340451
Alabama,Town: Fringe,45,3947.0,0.011401064099315936
Alabama,Town: Remote,855,16868.0,0.05068769267251601
Alaska,City: Large,186,22973.0,0.008096461062986985
Alaska,Suburb: Small,228,11417.0,0.01997021984759569
Alaska,Town: Remote,16,3622.0,0.004417448923246825
Arizona,City: Large,6300,113578.0,0.05546848861575305
Arizona,City: Midsize,6766,45657.0,0.1481919530411547
Arizona,City: Small,3000,41410.0,0.07244626901714561
Arizona,Rural: Fringe,89,8579.0,0.0103741694836228
Arizona,Rural: Remote,16,2034.0,0.007866273352999017
Arkansas,City: Midsize,284,10862.0,0.02614619775363653
Arkansas,City: Small,6055,77465.0,0.07816433227909378
Arkansas,Rural: Distant,139,4794.0,0.028994576554025864
Arkansas,Rural: Fringe,170,5851.0,0.02905486241668091
Arkansas,Suburb: Small,120,3429.0,0.03499562554680665
Arkansas,Town: Distant,1839,14008.0,0.13128212450028556
Arkansas,Town: Remote,1434,24146.0,0.05938871862834424
California,City: Large,12947,629785.0,0.02055780941114825
California,City: Midsize,1897,108421.0,0.017496610435247785
California,City: Small,683,96649.0,0.0070668087616012586
California,Rural: Fringe,134,11548.0,0.011603740907516454
California,Suburb: Large,1542,313115.0,0.004924708174312952
California,Suburb: Midsize,383,66452.0,0.005763558658881599
California,Suburb: Small,2738,64775.0,0.0422693940563489
California,Town: Remote,127,8497.0,0.014946451688831353
Colorado,City: Large,2826,96628.0,0.029246181231113135
Colorado,City: Midsize,8269,111728.0,0.07401009594730058
Colorado,City: Small,1243,10651.0,0.11670265702750915
Colorado,Suburb: Large,1258,66487.0,0.018920992073638454
Colorado,Town: Distant,331,3688.0,0.08975054229934924
Colorado,Town: Fringe,2,4276.0,0.0004677268475210477
Colorado,Town: Remote,702,22244.0,0.031559072109332856
Connecticut,City: Midsize,2241,29293.0,0.0765029187860581
